,id_generacion,id_hora,fecha_hora,inyeccion_retiro,tipo,subtipo,fecha,hora,minuto,hora_decimal,tipo_subtipo
0,761928,19131,2024-03-08 00:00:00,0.0,Bess,Inyección,2024-03-08,0,0,0.0,Bess | Inyección
83,762684,19131,2024-03-08 00:00:00,352.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
84,762715,19131,2024-03-08 00:00:00,20.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
85,763056,19131,2024-03-08 00:00:00,7.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
86,764606,19131,2024-03-08 00:00:00,5.0,Hidroeléctricas,Embalse,2024-03-08,0,0,0.0,Hidroeléctricas | Embalse
87,762529,19131,2024-03-08 00:00:00,5.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
88,762746,19131,2024-03-08 00:00:00,34.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
89,762777,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
90,762808,19131,2024-03-08 00:00:00,152.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
91,762839,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
92,762870,19131,2024-03-08 00:00:00,1.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
93,762901,19131,2024-03-08 00:00:00,21.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
94,762932,19131,2024-03-08 00:00:00,31.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
95,762963,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
96,762994,19131,2024-03-08 00:00:00,3.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
97,763025,19131,2024-03-08 00:00:00,4.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
98,763087,19131,2024-03-08 00:00:00,13.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
99,763118,19131,2024-03-08 00:00:00,111.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
100,763149,19131,2024-03-08 00:00:00,10.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
101,763180,19131,2024-03-08 00:00:00,16.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
102,763211,19131,2024-03-08 00:00:00,5.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
103,763242,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
104,763273,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
105,763304,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
106,763335,19131,2024-03-08 00:00:00,57.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
107,763366,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
108,763397,19131,2024-03-08 00:00:00,22.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
109,763428,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
110,763459,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
111,763490,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
112,763521,19131,2024-03-08 00:00:00,17.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
113,763552,19131,2024-03-08 00:00:00,1.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
114,763583,19131,2024-03-08 00:00:00,33.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
115,763614,19131,2024-03-08 00:00:00,47.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
116,763645,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
117,763676,19131,2024-03-08 00:00:00,24.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
118,763707,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
119,763738,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
120,763769,19131,2024-03-08 00:00:00,99.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
121,763800,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
122,763831,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
123,763862,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
124,763893,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
125,763924,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
126,763955,19131,2024-03-08 00:00:00,15.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
127,763986,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
128,764017,19131,2024-03-08 00:00:00,24.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
129,764048,19131,2024-03-08 00:00:00,18.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
130,764079,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
131,764110,19131,2024-03-08 00:00:00,5.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
132,764141,19131,2024-03-08 00:00:00,23.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
133,764172,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
134,764203,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
135,764234,19131,2024-03-08 00:00:00,1.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
136,764265,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
137,764296,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
138,764327,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
139,764358,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
140,764389,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
141,764420,19131,2024-03-08 00:00:00,7.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
142,764451,19131,2024-03-08 00:00:00,1.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
143,764482,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
144,764513,19131,2024-03-08 00:00:00,28.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
145,764544,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
146,764575,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
147,764637,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
148,764668,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
149,764699,19131,2024-03-08 00:00:00,5.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
150,764730,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
151,764761,19131,2024-03-08 00:00:00,6.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
152,764792,19131,2024-03-08 00:00:00,27.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
153,764823,19131,2024-03-08 00:00:00,25.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
154,764854,19131,2024-03-08 00:00:00,4.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
155,764885,19131,2024-03-08 00:00:00,6.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
156,764916,19131,2024-03-08 00:00:00,1.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
157,764947,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
158,764978,19131,2024-03-08 00:00:00,16.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
159,765009,19131,2024-03-08 00:00:00,65.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
160,765040,19131,2024-03-08 00:00:00,25.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
161,765071,19131,2024-03-08 00:00:00,3.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
162,765102,19131,2024-03-08 00:00:00,19.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
163,765140,19131,2024-03-08 00:00:00,66.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
164,765141,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
165,765195,19131,2024-03-08 00:00:00,8.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
166,765226,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
167,769752,19131,2024-03-08 00:00:00,1.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
168,769783,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
169,769814,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
170,769845,19131,2024-03-08 00:00:00,2.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
171,769876,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
172,769907,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
173,769938,19131,2024-03-08 00:00:00,1.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
174,769969,19131,2024-03-08 00:00:00,0.0,Hidroeléctricas,Pasada,2024-03-08,0,0,0.0,Hidroeléctricas | Pasada
